Month,Year,State,Total
Jan,2016,USA,2354
Feb,2016,USA,2426
Mar,2016,USA,2694
Apr,2016,USA,2713
May,2016,USA,3005
June,2016,USA,3025
July,2016,USA,3025
Aug,2016,USA,3134
Sept,2016,USA,3154
Oct,2016,USA,3287
Nov,2016,USA,3041
Dec,2016,USA,2890
Jan,2017,USA,2625
Feb,2017,USA,2312
Mar,2017,USA,2689
Apr,2017,USA,2770
May,2017,USA,2915
June,2017,USA,3032
July,2017,USA,3237
Aug,2017,USA,2990
Sept,2017,USA,3108
Oct,2017,USA,3107
Nov,2017,USA,2903
Dec,2017,USA,2872
Jan,2018,USA,2631
Feb,2018,USA,2320
Mar,2018,USA,2615
Apr,2018,USA,2572
May,2018,USA,2977
June,2018,USA,3026
July,2018,USA,3056
Aug,2018,USA,3009
Sept,2018,USA,3064
Oct,2018,USA,3108
Nov,2018,USA,2791
Dec,2018,USA,2750
Jan,2019,USA,2472
Feb,2019,USA,2200
Mar,2019,USA,2540
Apr,2019,USA,2609
May,2019,USA,2911
June,2019,USA,2915
July,2019,USA,3027
Aug,2019,USA,3083
Sept,2019,USA,3070
Oct,2019,USA,2944
Nov,2019,USA,2807
Dec,2019,USA,2666
Jan,2016,Alabama,65
Feb,2016,Alabama,68
Mar,2016,Alabama,79
Apr,2016,Alabama,62
May,2016,Alabama,94
June,2016,Alabama,90
July,2016,Alabama,70
Aug,2016,Alabama,87
Sept,2016,Alabama,90
Oct,2016,Alabama,105
Nov,2016,Alabama,79
Dec,2016,Alabama,85
Jan,2017,Alabama,67
Feb,2017,Alabama,57
Mar,2017,Alabama,71
Apr,2017,Alabama,81
May,2017,Alabama,88
June,2017,Alabama,76
July,2017,Alabama,69
Aug,2017,Alabama,76
Sept,2017,Alabama,73
Oct,2017,Alabama,73
Nov,2017,Alabama,58
Dec,2017,Alabama,75
Jan,2018,Alabama,82
Feb,2018,Alabama,65
Mar,2018,Alabama,74
Apr,2018,Alabama,77
May,2018,Alabama,68
June,2018,Alabama,62
July,2018,Alabama,75
Aug,2018,Alabama,76
Sept,2018,Alabama,68
Oct,2018,Alabama,89
Nov,2018,Alabama,77
Dec,2018,Alabama,63
Jan,2019,Alabama,75
Feb,2019,Alabama,45
Mar,2019,Alabama,73
Apr,2019,Alabama,60
May,2019,Alabama,83
June,2019,Alabama,80
July,2019,Alabama,70
Aug,2019,Alabama,71
Sept,2019,Alabama,70
Oct,2019,Alabama,93
Nov,2019,Alabama,65
Dec,2019,Alabama,71
Jan,2016,Alaska,6
Feb,2016,Alaska,4
Mar,2016,Alaska,2
Apr,2016,Alaska,7
May,2016,Alaska,6
June,2016,Alaska,8
July,2016,Alaska,9
Aug,2016,Alaska,8
Sept,2016,Alaska,6
Oct,2016,Alaska,7
Nov,2016,Alaska,9
Dec,2016,Alaska,6
Jan,2017,Alaska,10
Feb,2017,Alaska,4
Mar,2017,Alaska,2
Apr,2017,Alaska,3
May,2017,Alaska,7
June,2017,Alaska,9
July,2017,Alaska,5
Aug,2017,Alaska,9
Sept,2017,Alaska,6
Oct,2017,Alaska,7
Nov,2017,Alaska,6
Dec,2017,Alaska,7
